409499,Fresh Bananas | approx 220g,$0.72,https://www.coles.com.au/product/fresh-bananas-approx.-220g-409499
4841775,Coles Family Broccolini | 1 each,$4.90,https://www.coles.com.au/product/coles-family-broccolini-1-each-4841775
5900530,Coles Hass Avocados | 1 each,$1.80,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530
5293041,Old El Paso Hard N Soft Taco Kit Mexican Style | 350g,$9.50,https://www.coles.com.au/product/old-el-paso-hard-n-soft-taco-kit-mexican-style-350g-5293041
407755,Coles Broccoli | approx 340g,$0.99,https://www.coles.com.au/product/coles-broccoli-approx.-340g-each-407755
9006560,Coles Carrots Prepacked 1Kg | 1 each,$1.40,https://www.coles.com.au/product/coles-carrots-prepacked-1kg-1-each-9006560
409750,Coles Imperial Mandarins Medium | approx 80g,$0.23,https://www.coles.com.au/product/coles-imperial-mandarins-medium-approx.-80g-409750
4910506,Coles Green Zucchini | approx 300g,$1.01,https://www.coles.com.au/product/coles-green-zucchini-approx.-300g-4910506
134029,Coles Raspberries | 125g,$5.00,https://www.coles.com.au/product/coles-raspberries-125g-134029
4575605,Coles Continental Cucumbers Loose | 1 each,$2.00,https://www.coles.com.au/product/coles-continental-cucumbers-loose-1-each-4575605
6706191,Coles Red Seedless Grapes | approx 900g,$2.80,https://www.coles.com.au/product/coles-red-seedless-grapes-approx.-900g-6706191
4580208,Coles Red Capsicum | approx 250g,$1.38,https://www.coles.com.au/product/coles-red-capsicum-approx.-250g-4580208
5191256,Fresh Strawberries Prepacked | 250g,$5.50,https://www.coles.com.au/product/fresh-strawberries-prepacked-250g-5191256
4597109,Coles Field Tomatoes Loose | approx 140g,$0.76,https://www.coles.com.au/product/coles-field-tomatoes-loose-approx.-140g-4597109
4601603,Coles Cauliflower Medium | 1 each,$2.50,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603
6706395,Coles White Seedless Grapes Loose | approx 900g,$4.00,https://www.coles.com.au/product/coles-white-seedless-grapes-loose-approx.-900g-6706395
4239517,Fresh Brown Onions Loose | approx 180g,$0.67,https://www.coles.com.au/product/fresh-brown-onions-loose-approx.-180g-each-4239517
4628676,Coles Greenhouse Truss Tomatoes | approx 140g,$1.39,https://www.coles.com.au/product/coles-greenhouse-truss-tomatoes-approx.-140g-each-4628676
7508229,Coles Seedless Watermelon Cut | approx 2kg,$5.77,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-2kg-7508229
4834736,Coles Cherry Tomatoes Prepacked | 250g,$2.50,https://www.coles.com.au/product/coles-cherry-tomatoes-prepacked-250g-4834736
